"Price = 109, Date = 18 Dec 2021 - 17:21"
"Price = 109, Date = 18 Dec 2021 - 17:23"
"Price = 109, Date = 18 Dec 2021 - 17:29"
"Price = 109, Date = 18 Dec 2021 - 17:38"
"Price = 109, Date = 18 Dec 2021 - 17:42"
"Price = 109, Date = 18 Dec 2021 - 17:43"
"Price = 109, Date = 18 Dec 2021 - 17:45"
"Price = 109, Date = 18 Dec 2021 - 17:55"
"Price = 109, Date = 18 Dec 2021 - 17:56"
"Price = 129, Date = 18 Dec 2021 - 17:58"
"Price = 129, Date = 18 Dec 2021 - 17:59"
"Price = 129, Date = 18 Dec 2021 - 18:02"
"Price = 129, Date = 18 Dec 2021 - 18:03"
"Price = 129, Date = 18 Dec 2021 - 18:11"
"Price = 129, Date = 18 Dec 2021 - 18:12"
"Price = 129, Date = 18 Dec 2021 - 18:14"
"Price = 1439, Date = 18 Dec 2021 - 18:28"
"Price = 1439, Date = 18 Dec 2021 - 18:29"
"Price = 600, Date = 18 Dec 2021 - 18:35"
"Price = 600, Date = 18 Dec 2021 - 19:05"
"Price = 109, Date = 20 Dec 2021 - 16:58"
"Price = 569, Date = 21 Dec 2021 - 11:21"
"Price = 219, Date = 21 Dec 2021 - 13:25"
"Price = 219, Date = 21 Dec 2021 - 13:25"
"Price = 219, Date = 21 Dec 2021 - 13:27"
"Price = 219, Date = 21 Dec 2021 - 13:31"
"Price = 109, Date = 21 Dec 2021 - 13:33"
"Price = 600, Date = 21 Dec 2021 - 13:33"
"Price = 109, Date = 21 Dec 2021 - 13:33"
"Price = 569, Date = 21 Dec 2021 - 13:33"
"Price = 300, Date = 21 Dec 2021 - 13:42"
"Price = 300, Date = 21 Dec 2021 - 13:43"
"Price = 300, Date = 21 Dec 2021 - 13:43"
"Price = 300, Date = 21 Dec 2021 - 13:43"
"Price = 300, Date = 21 Dec 2021 - 13:43"
"Price = 219, Date = 21 Dec 2021 - 13:43"
"Price = 219, Date = 21 Dec 2021 - 13:43"
"Price = 219, Date = 21 Dec 2021 - 13:43"
"Price = 300, Date = 21 Dec 2021 - 13:43"
"Price = 219, Date = 21 Dec 2021 - 13:44"
"Price = 109, Date = 21 Dec 2021 - 13:44"
"Price = 600, Date = 21 Dec 2021 - 13:44"
"Price = 109, Date = 21 Dec 2021 - 13:44"
"Price = 569, Date = 21 Dec 2021 - 13:44"
"Price = 219, Date = 21 Dec 2021 - 13:49"
"Price = 219, Date = 21 Dec 2021 - 13:50"
"Price = 219, Date = 21 Dec 2021 - 13:50"
"Price = 219, Date = 21 Dec 2021 - 13:51"
"Price = 300, Date = 21 Dec 2021 - 13:52"
"Price = 219, Date = 21 Dec 2021 - 13:52"
"Price = 219, Date = 21 Dec 2021 - 13:52"
"Price = 109, Date = 21 Dec 2021 - 13:52"
"Price = 600, Date = 21 Dec 2021 - 13:52"
"Price = 109, Date = 21 Dec 2021 - 13:53"
"Price = 569, Date = 21 Dec 2021 - 13:53"
"Price = 219, Date = 21 Dec 2021 - 13:53"
"Price = 219, Date = 21 Dec 2021 - 14:10"
"Price = 300, Date = 22 Dec 2021 - 09:11"
"Price = 300, Date = 22 Dec 2021 - 09:12"
"Price = 300, Date = 22 Dec 2021 - 09:15"
